,lat,lon,mask
174,-90.0,217.5,False
175,-90.0,218.75,False
176,-90.0,220.0,False
177,-90.0,221.25,False
178,-90.0,222.5,False
179,-90.0,223.75,False
180,-90.0,225.0,False
181,-90.0,226.25,False
182,-90.0,227.5,False
183,-90.0,228.75,False
184,-90.0,230.0,False
185,-90.0,231.25,False
186,-90.0,232.5,False
187,-90.0,233.75,False
188,-90.0,235.0,False
189,-90.0,236.25,False
190,-90.0,237.5,False
191,-90.0,238.75,False
192,-90.0,240.0,False
193,-90.0,241.25,False
194,-90.0,242.5,False
195,-90.0,243.75,False
196,-90.0,245.0,False
197,-90.0,246.25,False
198,-90.0,247.5,False
199,-90.0,248.75,False
200,-90.0,250.0,False
201,-90.0,251.25,False
202,-90.0,252.5,False
203,-90.0,253.75,False
204,-90.0,255.0,False
205,-90.0,256.25,False
206,-90.0,257.5,False
207,-90.0,258.75,False
208,-90.0,260.0,False
209,-90.0,261.25,False
210,-90.0,262.5,False
211,-90.0,263.75,False
212,-90.0,265.0,False
213,-90.0,266.25,False
214,-90.0,267.5,False
215,-90.0,268.75,False
216,-90.0,270.0,False
217,-90.0,271.25,False
218,-90.0,272.5,False
219,-90.0,273.75,False
220,-90.0,275.0,False
221,-90.0,276.25,False
222,-90.0,277.5,False
223,-90.0,278.75,False
224,-90.0,280.0,False
225,-90.0,281.25,False
226,-90.0,282.5,False
227,-90.0,283.75,False
228,-90.0,285.0,False
229,-90.0,286.25,False
230,-90.0,287.5,False
231,-90.0,288.75,False
232,-90.0,290.0,False
233,-90.0,291.25,False
234,-90.0,292.5,False
235,-90.0,293.75,False
236,-90.0,295.0,False
237,-90.0,296.25,False
238,-90.0,297.5,False
239,-90.0,298.75,False
240,-90.0,300.0,False
241,-90.0,301.25,False
242,-90.0,302.5,False
243,-90.0,303.75,False
244,-90.0,305.0,False
245,-90.0,306.25,False
246,-90.0,307.5,False
247,-90.0,308.75,False
248,-90.0,310.0,False
249,-90.0,311.25,False
250,-90.0,312.5,False
251,-90.0,313.75,False
252,-90.0,315.0,False
253,-90.0,316.25,False
254,-90.0,317.5,False
255,-90.0,318.75,False
256,-90.0,320.0,False
257,-90.0,321.25,False
258,-90.0,322.5,False
259,-90.0,323.75,False
260,-90.0,325.0,False
261,-90.0,326.25,False
262,-90.0,327.5,False
